basin,category,meanlog,sdlog
EP,TD-TS,0.6867226640064055,0.49254833167482703
EP,Cat 1,0.12123417423726264,0.471200686702131
EP,Cat 2,-0.07056770958005579,0.402351185664884
EP,Cat 3,-0.22998687158322753,0.5003303793789824
EP,Cat 4,-0.41127904450336994,0.4988119754436234
EP,Cat 5,-0.5553600264933429,0.49744302287917996
"NA",TD-TS,0.5865080589910916,0.6859796349585262
"NA",Cat 1,0.17347952546171766,0.5287269155244054
"NA",Cat 2,-0.04385659005557108,0.5956362986824325
"NA",Cat 3,-0.2827192562020992,0.5351584537403951
"NA",Cat 4,-0.6096215355463988,0.5982512352251257
"NA",Cat 5,-0.8106077838221006,0.5635185575204964
NI,TD-TS,0.3593986362753603,0.7218122209170905
NI,Cat 1,-0.38205351203079263,0.5160041979184997
NI,Cat 2,-0.7425191961462505,0.3370018169948537
NI,Cat 3,-0.743464408215567,0.43454084409757276
NI,Cat 4,-0.4781680281497866,0.12860863697090194
NI,Cat 5,-0.7136991273514991,0.6896464782302968
SI,TD-TS,0.4444439359280393,0.6249720143216604
SI,Cat 1,-0.031036489203883917,0.46805755014980077
SI,Cat 2,-0.259204012738866,0.5425386250171155
SI,Cat 3,-0.5644728436628508,0.5632058592951913
SI,Cat 4,-0.5389411569889341,0.5323458403663657
SI,Cat 5,-0.7081546657165447,0.7011257236047523
SP,TD-TS,0.2040464587672018,0.4487002418846937
SP,Cat 1,-0.07215472143642795,0.4221510495087111
SP,Cat 2,-0.4840025041509501,0.6768521133948568
SP,Cat 3,-0.5524352092692739,0.4814871584191334
SP,Cat 4,-0.3922009339560098,0.3491188639368887
SP,Cat 5,-0.6698981099321887,0.527098590118495
WP,TD-TS,0.34536927070137263,0.5796904902159002
WP,Cat 1,-0.18427068345838857,0.6015577781666901
WP,Cat 2,-0.21017873846044904,0.6036404573354052
WP,Cat 3,-0.4092612938622146,0.6555251861894555
WP,Cat 4,-0.48079500613365245,0.5785000118709357
WP,Cat 5,-0.561456239804136,0.6537429988110193
