cal_region2,v_half,RMSF,total_impact_EMDAT_scaled,total_impact_CLIMADA
NA1,59.60000000000048,9.801200213092638,135352357369.4079,194557135200.02737
WP3,80.20000000000076,14.82851644778313,188937120933.8891,723269174442.8668
NA2,86.00000000000084,8.655953465928835,667218532566.2063,770768141035.3884
NI,58.700000000000465,6.043638072262602,84497637586.661,171755795660.66043
WP1,56.700000000000436,11.286796984296855,18120388353.80415,37197470493.59789
WP4,135.60000000000156,35.92155570889689,67037068336.95348,224394385935.31262
WP2,84.70000000000084,36.674233620262314,26387273439.528103,433827543508.6846
OC,49.700000000000344,14.722340207002066,16833578490.046299,38818448954.15796
SI,46.800000000000296,8.5569360469622,3740392803.7739005,6738922143.523445
GLB,73.40000000000067,22.186155029220686,1208124349880.2703,5852747087067.671
